Question,Answer
صداع,عذراً، حدث خطأ أثناء معالجة سؤالك
صداع,عذراً، حدث خطأ أثناء معالجة سؤالك
صداع,"Sorry, an error occurred while processing your question"
صداع,عذراً، حدث خطأ أثناء معالجة سؤالك
عندي صداع اعمل ايه ,عذراً، حدث خطأ أثناء معالجة سؤالك
 عندي صداع اعمل ايه,عذراً، حدث خطأ أثناء معالجة سؤالك
عندي صداع اعمل ايه,عذراً، حدث خطأ أثناء معالجة سؤالك
عندي صداع اعمل ايه,عذراً، حدث خطأ أثناء معالجة سؤالك
ندي صداع اعمل ايه,عذراً، حدث خطأ أثناء معالجة سؤالك
صداغ,عذراً، حدث خطأ أثناء معالجة سؤالك
صداغ,عذراً، حدث خطأ أثناء معالجة سؤالك
صداغ,عذراً، حدث خطأ أثناء معالجة سؤالك
